YEAR,Borough,Neighborhood,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
2021,Bronx,Crotona - Tremont,Male,Asian/Pacific Islander,1,54.5,1,100,1,54.5
2021,Bronx,Crotona - Tremont,Female,Black,11,44.9,2,18.2,15,61.2
2021,Bronx,Crotona - Tremont,Male,Black,18,80.7,2,11.1,21,94.2
2021,Bronx,Crotona - Tremont,Female,Latino/Hispanic,10,16.1,3,30,5,8
2021,Bronx,Crotona - Tremont,Male,Latino/Hispanic,32,61.4,3,9.4,25,48
2021,Bronx,Crotona - Tremont,Female,White,1,60.5,0,0,2,120.9
2021,Bronx,Crotona - Tremont,Male,White,2,111.1,1,50,4,222.1
2021,Bronx,Fordham - Bronx Park,Male,Asian/Pacific Islander,1,25,1,100,2,49.9
2021,Bronx,Fordham - Bronx Park,Female,Black,7,28,2,28.6,12,47.9
2021,Bronx,Fordham - Bronx Park,Male,Black,17,75.7,3,17.6,21,93.5
2021,Bronx,Fordham - Bronx Park,Female,Latino/Hispanic,6,8,1,16.7,4,5.3
2021,Bronx,Fordham - Bronx Park,Male,Latino/Hispanic,38,57.6,9,23.7,27,41
2021,Bronx,Fordham - Bronx Park,Female,White,1,12.7,0,0,0,0
2021,Bronx,High Bridge - Morrisania,Female,Black,9,29.6,0,0,6,19.7
2021,Bronx,High Bridge - Morrisania,Male,Black,11,41.2,4,36.4,15,56.2
2021,Bronx,High Bridge - Morrisania,Female,Latino/Hispanic,7,12,2,28.6,6,10.3
2021,Bronx,High Bridge - Morrisania,Male,Latino/Hispanic,37,74.6,10,27,16,32.3
2021,Bronx,High Bridge - Morrisania,Male,White,1,45.3,0,0,1,45.3
2021,Bronx,Hunts Point - Mott Haven,Female,Black,3,18.4,1,33.3,7,42.9
2021,Bronx,Hunts Point - Mott Haven,Male,Black,15,102.6,0,0,8,54.7
2021,Bronx,Hunts Point - Mott Haven,Female,Latino/Hispanic,2,4.9,0,0,3,7.4
2021,Bronx,Hunts Point - Mott Haven,Male,Latino/Hispanic,19,52.4,2,10.5,13,35.9
2021,Bronx,Hunts Point - Mott Haven,Female,White,1,93.6,0,0,1,93.6
2021,Bronx,Hunts Point - Mott Haven,Male,White,4,347.5,0,0,2,173.8
2021,Bronx,Kingsbridge - Riverdale,Male,Black,2,48.2,1,50,2,48.2
2021,Bronx,Kingsbridge - Riverdale,Female,Latino/Hispanic,2,10,0,0,1,5
2021,Bronx,Kingsbridge - Riverdale,Male,Latino/Hispanic,8,51,0,0,0,0
2021,Bronx,Northeast Bronx,Male,Asian/Pacific Islander,1,25.6,0,0,0,0
2021,Bronx,Northeast Bronx,Female,Black,14,24.3,6,42.9,8,13.9
2021,Bronx,Northeast Bronx,Male,Black,25,54.8,2,8,15,32.9
2021,Bronx,Northeast Bronx,Female,Latino/Hispanic,3,11.9,0,0,3,11.9
2021,Bronx,Northeast Bronx,Male,Latino/Hispanic,8,38.7,1,12.5,4,19.4
2021,Bronx,Northeast Bronx,Male,Other/Unknown,1,80.6,0,0,0,0
2021,Bronx,Northeast Bronx,Male,White,1,13.9,0,0,0,0
2021,Bronx,Pelham - Throgs Neck,Male,Asian/Pacific Islander,2,18.1,1,50,1,9.1
2021,Bronx,Pelham - Throgs Neck,Female,Black,8,29.4,1,12.5,4,14.7
2021,Bronx,Pelham - Throgs Neck,Male,Black,14,61.1,6,42.9,16,69.8
2021,Bronx,Pelham - Throgs Neck,Female,Latino/Hispanic,2,2.8,1,50,5,7
2021,Bronx,Pelham - Throgs Neck,Male,Latino/Hispanic,20,32.3,2,10,9,14.6
2021,Bronx,Pelham - Throgs Neck,Male,White,4,19.8,1,25,1,5
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Asian/Pacific Islander,3,61.4,0,0,1,20.5
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Black,9,9.3,2,22.2,13,13.5
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Black,73,98.4,20,27.4,40,53.9
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Latino/Hispanic,7,33.1,0,0,2,9.4
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Latino/Hispanic,15,87.2,3,20,6,34.9
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Other/Unknown,1,39.5,0,0,0,0
2021,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,White,1,3.3,0,0,0,0
